test score,train score,"fit time, s","score time, s",clf__learning_rate,clf__max_depth,clf__n_estimators,clf__num_leaves
0.5709189635696488,0.7486776196844002,0.2409947713216146,0.030551751454671223,0.1,40,100,60
0.5705011988746197,0.7749648488912788,0.7528841495513916,0.06300147374471028,0.2,60,200,50
0.5705011988746197,0.7749648488912788,0.5521576404571533,0.04480512936909994,0.2,50,200,50
0.5701288954152389,0.7482422832854567,0.23849177360534668,0.030515750249226887,0.1,60,100,50
0.5701288954152389,0.7482422832854567,0.24248115221659342,0.030929088592529297,0.1,50,100,50
0.5697325225792212,0.7788253223199543,0.4683391253153483,0.05931838353474935,0.2,40,250,50
0.5692742843931055,0.7606527732288405,1.0483605066935222,0.04451211293538412,0.2,60,100,40
0.5692742843931055,0.7606527732288405,0.24720271428426108,0.029782215754191082,0.2,40,100,40
0.5692742843931055,0.7606527732288405,0.2720075448354085,0.030721108118693035,0.2,50,100,40
0.5683746193311637,0.7460914559396352,0.21611936887105307,0.029581864674886067,0.1,60,100,40
